sample,address_hex,value_hex
0,0x14,0x35
3,0x60,0x7F
7,0x70,0x7F
11,0x68,0x7F
15,0x78,0x7F
35,0x61,0x7F
39,0x71,0x7F
43,0x69,0x7F
47,0x79,0x7F
67,0x62,0x7F
71,0x72,0x7F
75,0x6A,0x7F
79,0x7A,0x7F
99,0x63,0x7F
103,0x73,0x7F
107,0x6B,0x7F
111,0x7B,0x7F
131,0x64,0x7F
135,0x74,0x7F
139,0x6C,0x7F
143,0x7C,0x7F
163,0x65,0x7F
167,0x75,0x7F
171,0x6D,0x7F
175,0x7D,0x7F
195,0x66,0x7F
199,0x76,0x7F
203,0x6E,0x7F
207,0x7E,0x7F
227,0x67,0x7F
231,0x77,0x7F
235,0x6F,0x7F
239,0x7F,0x7F
255,0x0F,0x00
256,0x18,0x00
258,0x19,0x80
259,0x19,0x00
261,0x1B,0x00
262,0x1B,0x40
299,0x98,0x00
300,0xB8,0x00
302,0xD8,0x00
303,0xF8,0x00
306,0x38,0x00
307,0x08,0x00
335,0x99,0x00
336,0xB9,0x00
338,0xD9,0x00
339,0xF9,0x00
342,0x39,0x00
343,0x08,0x01
371,0x9A,0x00
372,0xBA,0x00
374,0xDA,0x00
375,0xFA,0x00
378,0x3A,0x00
379,0x08,0x02
407,0x9B,0x00
408,0xBB,0x00
410,0xDB,0x00
411,0xFB,0x00
414,0x3B,0x00
415,0x08,0x03
443,0x9C,0x00
444,0xBC,0x00
446,0xDC,0x00
447,0xFC,0x00
450,0x3C,0x00
451,0x08,0x04
479,0x9D,0x00
480,0xBD,0x00
482,0xDD,0x00
483,0xFD,0x00
486,0x3D,0x00
487,0x08,0x05
515,0x9E,0x00
516,0xBE,0x00
518,0xDE,0x00
519,0xFE,0x00
522,0x3E,0x00
523,0x08,0x06
551,0x9F,0x00
552,0xBF,0x00
554,0xDF,0x00
555,0xFF,0x00
558,0x3F,0x00
559,0x08,0x07
616,0x1B,0x00
625,0x1B,0x40
4237,0xE6,0xFF
4239,0xEE,0xFF
4240,0xF6,0xFF
4242,0xFE,0xFF
4828,0x2E,0x18
4830,0x36,0x1C
4832,0x26,0xCB
4836,0x46,0x73
4839,0x66,0x1E
4840,0x86,0x1F
4842,0xA6,0x00
4843,0xC6,0xC0
4845,0xE6,0xF0
4847,0x4E,0x72
4850,0x6E,0x17
4852,0x8E,0x1F
4853,0xAE,0x00
4855,0xCE,0x00
4856,0xEE,0xF0
4859,0x56,0x70
4863,0x76,0x11
4864,0x96,0x9F
4866,0xB6,0x00
4867,0xD6,0x80
4869,0xF6,0xF0
4872,0x5E,0x78
4875,0x7E,0x09
4877,0x9E,0xDF
4880,0xDE,0x40
4881,0xFE,0xF1
4886,0x08,0x7E
4973,0xE7,0xFF
4975,0xEF,0xFF
4976,0xF7,0xFF
4978,0xFF,0xFF
5561,0x2F,0x18
5563,0x37,0x1C
5565,0x27,0xCB
5569,0x47,0x73
5572,0x67,0x1E
5573,0x87,0x1F
5575,0xA7,0x00
5576,0xC7,0xC0
5578,0xE7,0xF0
5580,0x4F,0x72
5583,0x6F,0x17
5585,0x8F,0x1F
5586,0xAF,0x00
5588,0xCF,0x00
5589,0xEF,0xF0
5592,0x57,0x70
5596,0x77,0x11
5597,0x97,0x9F
5599,0xB7,0x00
5600,0xD7,0x80
5602,0xF7,0xF0
5605,0x5F,0x78
5608,0x7F,0x09
5610,0x9F,0xDF
5613,0xDF,0x40
5614,0xFF,0xF1
5619,0x08,0x7F
6279,0x08,0x06
7009,0x08,0x07
53295,0x1B,0x00
53333,0x1B,0x40
